estimator_name,budget_fraction,seed,false_positive_rate,detection_rate,threshold
naive,0.0,0,0.05,1.0,15.517557075697752
naive,0.0,1,0.05,1.0,15.637885257856457
naive,0.0,2,0.05,1.0,15.68173438749744
naive,0.0,3,0.05,1.0,16.525078432572823
naive,0.0,4,0.05,1.0,15.862650486996424
naive,0.0,5,0.05,1.0,15.541209300406665
naive,0.0,6,0.05,1.0,15.334170232684519
naive,0.0,7,0.05,1.0,15.847206350828209
naive,0.0,8,0.05,1.0,16.726468954341705
naive,0.0,9,0.05,1.0,14.695041913076022
naive,0.0,10,0.05,1.0,15.407587252940175
naive,0.0,11,0.05,1.0,15.534908346713685
naive,0.0,12,0.05,1.0,16.451624223144503
naive,0.0,13,0.05,1.0,16.196621144921355
naive,0.0,14,0.05,1.0,15.723519424019434
naive,0.0,15,0.05,1.0,16.39219883991219
naive,0.0,16,0.05,1.0,15.643803943324938
naive,0.0,17,0.05,1.0,16.254922697414663
naive,0.0,18,0.05,1.0,16.233102115527636
naive,0.0,19,0.05,1.0,15.209479766521058
sediment_trim10,0.0,0,0.05,1.0,15.533162213096828
sediment_trim10,0.0,1,0.05,1.0,15.384104336382922
sediment_trim10,0.0,2,0.05,1.0,15.440766702827592
sediment_trim10,0.0,3,0.05,1.0,16.538952140968952
sediment_trim10,0.0,4,0.05,1.0,15.583563496971845
sediment_trim10,0.0,5,0.05,1.0,15.603910555861482
sediment_trim10,0.0,6,0.05,1.0,15.067850000571369
sediment_trim10,0.0,7,0.05,1.0,16.000638417995507
sediment_trim10,0.0,8,0.05,1.0,16.616721767130127
sediment_trim10,0.0,9,0.05,1.0,14.968488277513993
sediment_trim10,0.0,10,0.05,1.0,15.316797036761898
sediment_trim10,0.0,11,0.05,1.0,15.566744718278324
sediment_trim10,0.0,12,0.05,1.0,16.797244597327843
sediment_trim10,0.0,13,0.05,1.0,16.12698316317998
sediment_trim10,0.0,14,0.05,1.0,15.640376701909837
sediment_trim10,0.0,15,0.05,1.0,16.617968824250152
sediment_trim10,0.0,16,0.05,1.0,15.65136180583292
sediment_trim10,0.0,17,0.05,1.0,16.08241160426598
sediment_trim10,0.0,18,0.05,1.0,16.37802728612338
sediment_trim10,0.0,19,0.05,1.0,15.203606521626165
sediment_trim30,0.0,0,0.05,1.0,15.38452747476407
sediment_trim30,0.0,1,0.05,1.0,15.500976022556772
sediment_trim30,0.0,2,0.05,1.0,15.677189332701754
sediment_trim30,0.0,3,0.05,1.0,16.400019495448475
sediment_trim30,0.0,4,0.05,1.0,15.207049905366375
sediment_trim30,0.0,5,0.05,1.0,15.700459113980928
sediment_trim30,0.0,6,0.05,1.0,14.934799998260997
sediment_trim30,0.0,7,0.05,1.0,16.183841363212963
sediment_trim30,0.0,8,0.05,1.0,16.725030389394092
sediment_trim30,0.0,9,0.05,1.0,15.138721471877773
sediment_trim30,0.0,10,0.05,1.0,15.54650748165065
sediment_trim30,0.0,11,0.05,1.0,15.898442632215936
sediment_trim30,0.0,12,0.05,1.0,16.71497936224541
sediment_trim30,0.0,13,0.05,1.0,16.130191005344354
sediment_trim30,0.0,14,0.05,1.0,15.042597318899551
sediment_trim30,0.0,15,0.05,1.0,16.775204587896344
sediment_trim30,0.0,16,0.05,1.0,15.95656236466338
sediment_trim30,0.0,17,0.05,1.0,15.852986333920006
sediment_trim30,0.0,18,0.05,1.0,16.317557258992167
sediment_trim30,0.0,19,0.05,1.0,15.325096966507415
sediment_trim50,0.0,0,0.05,1.0,15.270644025031933
sediment_trim50,0.0,1,0.05,1.0,15.284998707705263
sediment_trim50,0.0,2,0.05,1.0,16.14330646477786
sediment_trim50,0.0,3,0.05,1.0,16.827407596123305
sediment_trim50,0.0,4,0.05,1.0,14.932343283857241
sediment_trim50,0.0,5,0.05,1.0,16.04601016131735
sediment_trim50,0.0,6,0.05,1.0,15.632598466916097
sediment_trim50,0.0,7,0.05,1.0,16.350099114995494
sediment_trim50,0.0,8,0.05,1.0,16.37585235207094
sediment_trim50,0.0,9,0.05,1.0,15.060160529177905
sediment_trim50,0.0,10,0.05,1.0,15.839732129013724
sediment_trim50,0.0,11,0.05,1.0,16.424956617657994
sediment_trim50,0.0,12,0.05,1.0,16.678942292351348
sediment_trim50,0.0,13,0.05,1.0,15.512327526914607
sediment_trim50,0.0,14,0.05,1.0,14.565697088474497
sediment_trim50,0.0,15,0.05,1.0,16.564188506683635
sediment_trim50,0.0,16,0.05,1.0,15.831011854876534
sediment_trim50,0.0,17,0.05,1.0,16.071707823460038
sediment_trim50,0.0,18,0.05,1.0,16.761578756914744
sediment_trim50,0.0,19,0.05,1.0,15.510871960584527
